"ano.mes"	"manha"	"tarde"	"media"
"203"	"2016/8"	239.935483870968	250.129032258065	245.225806451613
"204"	"2016/9"	240.466666666667	246.933333333333	243.933333333333
"194"	"2016/10"	259.483870967742	261.903225806452	260.935483870968
"195"	"2016/11"	238.033333333333	251.166666666667	244.866666666667
"196"	"2016/12"	270.129032258065	277.806451612903	274.225806451613
"205"	"2017/1"	291.806451612903	297	294.709677419355
"209"	"2017/2"	282.285714285714	281.5	282.107142857143
"210"	"2017/3"	273.612903225806	285.322580645161	279.709677419355
"211"	"2017/4"	213.033333333333	213	213.3
"212"	"2017/5"	219.451612903226	224.741935483871	222.387096774194
"213"	"2017/6"	257.633333333333	256.766666666667	257.5
"214"	"2017/7"	194.935483870968	194.129032258065	194.774193548387
"215"	"2017/8"	212.322580645161	212.806451612903	212.806451612903
"216"	"2017/9"	243.4	245.3	244.566666666667
"206"	"2017/10"	240.741935483871	242.741935483871	241.967741935484
"207"	"2017/11"	201.2	209.933333333333	205.766666666667
"208"	"2017/12"	276.258064516129	277.741935483871	277.225806451613
"217"	"2018/1"	332.709677419355	334.129032258065	333.677419354839
"221"	"2018/2"	254.571428571429	259.857142857143	257.464285714286
"222"	"2018/3"	280.612903225806	281.935483870968	281.516129032258
"223"	"2018/4"	220.833333333333	221.8	221.6
"224"	"2018/5"	NA	NA	NA
"225"	"2018/6"	174.833333333333	177.466666666667	176.3
"226"	"2018/7"	171.258064516129	170.41935483871	171.032258064516
"227"	"2018/8"	227.258064516129	234.064516129032	230.903225806452
"228"	"2018/9"	187.3	191.4	189.6
"218"	"2018/10"	240.709677419355	242.548387096774	241.903225806452
"219"	"2018/11"	257.566666666667	261.033333333333	259.6
"220"	"2018/12"	235.870967741935	228.290322580645	232.290322580645
"229"	"2019/1"	258.096774193548	263.516129032258	261
